Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Cd111,74.7,,,cps,4.11e-004,,,ppm
Cs133,1.06e+003,,,cps,7.87e-004,,,ppm
Co59,755,,,cps,7.12e-004,,,ppm
Pb208,1.06e+003,,,cps,1.42e-003,,,ppm
Rb85,648,,,cps,7.49e-004,,,ppm
Se82,44.4,,,cps,3.95e-003,,,ppm
Ag107,507,,,cps,9.33e-004,,,ppm
Te130,15.4,,,cps,3.84e-004,,,ppm
Ta181,-12.8,,,cps,-4.02e-006,,,ppm
Tl205,516,,,cps,4.26e-004,,,ppm
Ge74,12.,,,cps,5.3e-005,,,ppm
Hf180,5.23,,,cps,1.51e-005,,,ppm
Mo98,-1.99,,,cps,-7.43e-006,,,ppm
Nb93,3.16,,,cps,1.44e-006,,,ppm
Sb121,15.8,,,cps,5.53e-005,,,ppm
Sn118,-2.11,,,cps,-2.52e-006,,,ppm
W184,-3.15,,,cps,-1.29e-005,,,ppm
Zr90,-1.43,,,cps,-2.38e-006,,,ppm
As75,119,,,cps,1.43e-003,,,ppm
V51,300,,,cps,6.44e-004,,,ppm
Cr52,362,,,cps,6.69e-004,,,ppm
Ni60,258,,,cps,1.46e-003,,,ppm
Cu63,499,,,cps,1.28e-003,,,ppm
Zn66,-10.5,,,cps,-1.04e-004,,,ppm
Th232,-16.8,,,cps,-1.93e-005,,,ppm
Sc45,-129,,,cps,-1.43e-004,,,ppm
Y89,7.37,,,cps,6.89e-006,,,ppm
La139,8.42,,,cps,8.03e-006,,,ppm
Ce140,30.8,,,cps,3.38e-005,,,ppm
Pr141,-2.04,,,cps,-1.89e-006,,,ppm
Nd142,12.,,,cps,4.1e-005,,,ppm
Sm152,6.22,,,cps,2.e-005,,,ppm
Eu153,-10.8,,,cps,-1.84e-005,,,ppm
Gd158,3.88,,,cps,1.34e-005,,,ppm
Tb159,1.45,,,cps,1.32e-006,,,ppm
Dy164,-14.4,,,cps,-4.77e-005,,,ppm
Ho165,1.02,,,cps,9.67e-007,,,ppm
Er166,12.9,,,cps,3.55e-005,,,ppm
Tm169,1.05,,,cps,9.61e-007,,,ppm
Yb174,8.46,,,cps,2.31e-005,,,ppm
Lu175,1.46,,,cps,1.49e-006,,,ppm
U238,-6.32,,,cps,-7.09e-006,,,ppm
Ga69,349,,,cps,3.26e-004,,,ppm
Sample ID:,mix1 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,188,,,cps,1.98e-003,,,ppm
Bi209,710,,,cps,7.72e-004,,,ppm
Cd111,227,,,cps,1.25e-003,,,ppm
Cs133,2.52e+003,,,cps,1.87e-003,,,ppm
Co59,2.18e+003,,,cps,2.06e-003,,,ppm
