Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Te130,-1.06,,,cps,-3.5e-006,,,ppm
Ta181,11.2,,,cps,3.08e-006,,,ppm
Tl205,-8.42,,,cps,-3.43e-006,,,ppm
Ge74,-5.97,,,cps,-9.19e-006,,,ppm
Hf180,12.6,,,cps,7.03e-006,,,ppm
Mo98,-9.82,,,cps,-1.21e-005,,,ppm
Nb93,36.8,,,cps,1.33e-005,,,ppm
Sb121,-17.9,,,cps,-1.56e-005,,,ppm
Sn118,12.6,,,cps,1.16e-005,,,ppm
W184,1.06,,,cps,8.81e-007,,,ppm
Zr90,302,,,cps,1.77e-004,,,ppm
As75,287,,,cps,1.2e-003,,,ppm
V51,210,,,cps,1.62e-004,,,ppm
Cr52,-1.93e+003,,,cps,-1.27e-003,,,ppm
Ni60,-96.2,,,cps,-2.05e-004,,,ppm
Cu63,1.81e+003,,,cps,1.67e-003,,,ppm
Zn66,-1.95e+003,,,cps,-5.75e-003,,,ppm
Th232,67.4,,,cps,2.01e-005,,,ppm
Sc45,-2.48e+003,,,cps,-2.11e-003,,,ppm
Y89,49.5,,,cps,1.25e-005,,,ppm
La139,464,,,cps,9.82e-005,,,ppm
Ce140,799,,,cps,1.9e-004,,,ppm
Pr141,136,,,cps,2.58e-005,,,ppm
Nd142,139,,,cps,9.79e-005,,,ppm
Sm152,34.6,,,cps,2.28e-005,,,ppm
Eu153,17.9,,,cps,5.99e-006,,,ppm
Gd158,18.2,,,cps,1.26e-005,,,ppm
Tb159,5.27,,,cps,9.1e-007,,,ppm
Dy164,5.56,,,cps,3.39e-006,,,ppm
Ho165,14.3,,,cps,2.37e-006,,,ppm
Er166,10.2,,,cps,5.12e-006,,,ppm
Tm169,2.11,,,cps,3.49e-007,,,ppm
Yb174,-4.94e-002,,,cps,-2.56e-008,,,ppm
Lu175,5.69,,,cps,1.06e-006,,,ppm
U238,27.4,,,cps,8.e-006,,,ppm
Ga69,92.6,,,cps,5.4e-005,,,ppm
Sample ID:,MIX1  8
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,1.56e+003,,,cps,7.7e-003,,,ppm
Bi209,6.26e+003,,,cps,3.92e-003,,,ppm
Cd111,3.02e+003,,,cps,7.54e-003,,,ppm
Cs133,3.54e+004,,,cps,7.66e-003,,,ppm
Co59,1.51e+004,,,cps,7.04e-003,,,ppm
Pb208,1.09e+004,,,cps,6.21e-003,,,ppm
Rb85,1.88e+004,,,cps,7.11e-003,,,ppm
Se82,165,,,cps,4.86e-003,,,ppm
Ag107,1.97e+004,,,cps,1.17e-002,,,ppm
Te130,1.16e+003,,,cps,3.83e-003,,,ppm
Ta181,12.3,,,cps,3.36e-006,,,ppm
Tl205,1.99e+004,,,cps,8.09e-003,,,ppm
Ge74,23.1,,,cps,3.55e-005,,,ppm
Hf180,11.3,,,cps,6.31e-006,,,ppm
Mo98,38.5,,,cps,4.75e-005,,,ppm
Nb93,61.1,,,cps,2.21e-005,,,ppm
Sb121,-10.5,,,cps,-9.17e-006,,,ppm
Sn118,52.6,,,cps,4.83e-005,,,ppm
W184,48.4,,,cps,4.04e-005,,,ppm
Zr90,116,,,cps,6.81e-005,,,ppm
As75,1.93e+003,,,cps,8.05e-003,,,ppm
V51,6.06e+003,,,cps,4.67e-003,,,ppm
Cr52,1.16e+004,,,cps,7.6e-003,,,ppm
Ni60,4.72e+003,,,cps,1.01e-002,,,ppm
Cu63,1.02e+004,,,cps,9.39e-003,,,ppm
Zn66,7.45e+003,,,cps,2.19e-002,,,ppm
Th232,55.8,,,cps,1.67e-005,,,ppm
Sc45,-1.1e+003,,,cps,-9.32e-004,,,ppm
Y89,77.9,,,cps,1.96e-005,,,ppm
La139,437,,,cps,9.24e-005,,,ppm
Ce140,768,,,cps,1.83e-004,,,ppm
Pr141,117,,,cps,2.23e-005,,,ppm
Nd142,118,,,cps,8.34e-005,,,ppm
Sm152,19.8,,,cps,1.3e-005,,,ppm
Eu153,12.3,,,cps,4.11e-006,,,ppm
Gd158,23.,,,cps,1.6e-005,,,ppm
Tb159,13.4,,,cps,2.32e-006,,,ppm
Dy164,4.57,,,cps,2.79e-006,,,ppm
Ho165,7.31,,,cps,1.21e-006,,,ppm
Er166,11.4,,,cps,5.72e-006,,,ppm
Tm169,-5.26,,,cps,-8.72e-007,,,ppm
Yb174,-5.27,,,cps,-2.73e-006,,,ppm
Lu175,4.67,,,cps,8.71e-007,,,ppm
U238,17.9,,,cps,5.23e-006,,,ppm
Ga69,8.5e+003,,,cps,4.96e-003,,,ppm
Sample ID:,mix1 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,4.32e+003,,,cps,2.14e-002,,,ppm
Bi209,1.55e+004,,,cps,9.72e-003,,,ppm
Cd111,7.14e+003,,,cps,1.79e-002,,,ppm
Cs133,8.77e+004,,,cps,1.9e-002,,,ppm
Co59,3.96e+004,,,cps,1.84e-002,,,ppm
Pb208,4.04e+004,,,cps,2.3e-002,,,ppm
Rb85,5.04e+004,,,cps,1.9e-002,,,ppm
Se82,565,,,cps,1.66e-002,,,ppm
Ag107,3.77e+004,,,cps,2.25e-002,,,ppm
Te130,3.31e+003,,,cps,1.09e-002,,,ppm
Ta181,7.15,,,cps,1.96e-006,,,ppm
Tl205,5.01e+004,,,cps,2.04e-002,,,ppm
Ge74,24.2,,,cps,3.73e-005,,,ppm
Hf180,27.1,,,cps,1.51e-005,,,ppm
Mo98,62.,,,cps,7.66e-005,,,ppm
Nb93,70.5,,,cps,2.55e-005,,,ppm
Sb121,1.05,,,cps,9.17e-007,,,ppm
Sn118,101,,,cps,9.28e-005,,,ppm
W184,49.5,,,cps,4.13e-005,,,ppm
Zr90,230,,,cps,1.35e-004,,,ppm
As75,4.69e+003,,,cps,1.96e-002,,,ppm
V51,2.47e+004,,,cps,1.9e-002,,,ppm
Cr52,2.9e+004,,,cps,1.9e-002,,,ppm
Ni60,9.18e+003,,,cps,1.96e-002,,,ppm
Cu63,2.11e+004,,,cps,1.95e-002,,,ppm
Zn66,1.e+004,,,cps,2.95e-002,,,ppm
Th232,83.2,,,cps,2.48e-005,,,ppm
Sc45,-773,,,cps,-6.57e-004,,,ppm
Y89,83.2,,,cps,2.09e-005,,,ppm
La139,591,,,cps,1.25e-004,,,ppm
Ce140,1.47e+003,,,cps,3.5e-004,,,ppm
Pr141,164,,,cps,3.12e-005,,,ppm
Nd142,185,,,cps,1.31e-004,,,ppm
Sm152,79.6,,,cps,5.24e-005,,,ppm
Eu153,44.6,,,cps,1.49e-005,,,ppm
Gd158,40.2,,,cps,2.79e-005,,,ppm
Tb159,12.8,,,cps,2.22e-006,,,ppm
Dy164,6.68,,,cps,4.07e-006,,,ppm
Ho165,-2.63,,,cps,-4.37e-007,,,ppm
Er166,8.17,,,cps,4.09e-006,,,ppm
Tm169,-4.21,,,cps,-6.98e-007,,,ppm
Yb174,-3.2,,,cps,-1.66e-006,,,ppm
Lu175,7.15,,,cps,1.33e-006,,,ppm
U238,58.9,,,cps,1.72e-005,,,ppm
Ga69,3.15e+004,,,cps,1.83e-002,,,ppm
Sample ID:,MIX2  8
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,28.,,,cps,1.38e-004,,,ppm
Bi209,6.5e+003,,,cps,4.07e-003,,,ppm
Cd111,109,,,cps,2.74e-004,,,ppm
Cs133,365,,,cps,7.91e-005,,,ppm
Co59,1.09e+003,,,cps,5.09e-004,,,ppm
Pb208,1.32e+004,,,cps,7.5e-003,,,ppm
Rb85,559,,,cps,2.11e-004,,,ppm
Se82,295,,,cps,8.66e-003,,,ppm
Ag107,7.48e+003,,,cps,4.46e-003,,,ppm
Te130,3.69e+003,,,cps,1.21e-002,,,ppm
Ta181,9.27e+003,,,cps,2.54e-003,,,ppm
Tl205,334,,,cps,1.36e-004,,,ppm
Ge74,4.67e+003,,,cps,7.19e-003,,,ppm
Hf180,1.33e+004,,,cps,7.4e-003,,,ppm
Mo98,6.66e+003,,,cps,8.22e-003,,,ppm
Nb93,2.2e+004,,,cps,7.97e-003,,,ppm
Sb121,9.52e+003,,,cps,8.29e-003,,,ppm
Sn118,9.79e+003,,,cps,8.99e-003,,,ppm
W184,8.29e+003,,,cps,6.92e-003,,,ppm
Zr90,1.28e+004,,,cps,7.52e-003,,,ppm
As75,2.11e+004,,,cps,8.8e-002,,,ppm
V51,3.91e+004,,,cps,3.01e-002,,,ppm
Cr52,8.29e+003,,,cps,5.44e-003,,,ppm
Ni60,3.86e+003,,,cps,8.24e-003,,,ppm
Cu63,9.31e+003,,,cps,8.6e-003,,,ppm
